本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 13/40 盘：卡罗康式，白方 v4，黑方 material =====
86... v4：Kf3 | 深度 5 | 2.68 秒
87. material：Kc6 | 深度 4 | 5.00 秒
87... v4：f4 | 深度 5 | 2.71 秒
88. material：Qd8 | 深度 5 | 4.56 秒
88... v4：Ke4 | 深度 5 | 3.84 秒
89. material：Kc7 | 深度 4 | 5.00 秒
89... v4：f3 | 深度 5 | 2.21 秒
90. material：Qd7 | 深度 4 | 5.00 秒
90... v4：f2 | 深度 5 | 3.52 秒
91. material：Qh3 | 深度 5 | 4.57 秒
91... v4：Bc3 | 深度 4 | 5.00 秒
92. material：Qh7+ | 深度 4 | 5.00 秒
92... v4：Kd4 | 深度 5 | 1.41 秒
93. material：Qh4+ | 深度 5 | 3.95 秒
93... v4：Ke3 | 深度 5 | 1.14 秒
94. material：Qg3+ | 深度 5 | 4.73 秒
94... v4：Ke2 | 深度 5 | 1.05 秒
95. material：Qg2 | 深度 5 | 3.74 秒
95... v4：Ke1 | 深度 5 | 3.88 秒
96. material：Qg3 | 深度 5 | 3.07 秒
96... v4：Ke2 | 深度 5 | 2.21 秒
97. material：Qg2 | 深度 5 | 3.49 秒
97... v4：Ke1 | 深度 5 | 3.72 秒
98. material：Qe4+ | 深度 5 | 2.71 秒
98... v4：Kd2 | 深度 5 | 1.52 秒
99. material：Qd5+ | 深度 5 | 4.90 秒
99... v4：Ke1 | 深度 5 | 3.97 秒
100. material：Qe6+ | 深度 5 | 3.43 秒
100... v4：Kd1 | 深度 5 | 2.66 秒
101. material：Qd6+ | 深度 4 | 5.00 秒
101... v4：Kc2 | 深度 5 | 1.53 秒
102. material：Qg6+ | 深度 5 | 4.00 秒
102... v4：Kb3 | 深度 5 | 2.42 秒
103. material：Qf5 | 深度 4 | 5.00 秒
103... v4：Be5+ | 深度 5 | 3.17 秒
104. material：Kd7 | 深度 5 | 3.01 秒
104... v4：Bd4 | 深度 5 | 3.27 秒
