本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 3/40 盘：后翼弃兵发展，白方 v4，黑方 material =====
21... v4：Nb4 | 深度 4 | 5.00 秒
22. material：Bxg5 | 深度 4 | 5.00 秒
22... v4：Bd3 | 深度 4 | 5.00 秒
23. material：Qa5 | 深度 3 | 5.00 秒
23... v4：Nc6 | 深度 4 | 5.00 秒
24. material：Bxe7 | 深度 4 | 5.00 秒
24... v4：Nxa5 | 深度 4 | 5.00 秒
25. material：Bc5 | 深度 4 | 5.00 秒
25... v4：Bxh7 | 深度 4 | 5.00 秒
26. material：Bxa7 | 深度 3 | 5.00 秒
26... v4：Ra8 | 深度 4 | 5.00 秒
27. material：Bb6 | 深度 4 | 5.00 秒
27... v4：Nb3 | 深度 5 | 2.94 秒
28. material：Rb1 | 深度 4 | 5.00 秒
28... v4：Rxa2 | 深度 5 | 4.47 秒
29. material：Rh5 | 深度 4 | 5.00 秒
29... v4：Kd7 | 深度 5 | 4.55 秒
30. material：Rh6 | 深度 4 | 5.00 秒
30... v4：Bxb1 | 深度 4 | 5.00 秒
31. material：Rxh8 | 深度 5 | 3.11 秒
31... v4：Bc2 | 深度 4 | 5.00 秒
32. material：Rf8 | 深度 4 | 5.00 秒
32... v4：Bd3 | 深度 5 | 3.38 秒
33. material：f3 | 深度 4 | 5.00 秒
33... v4：Kc6 | 深度 5 | 3.71 秒
34. material：Bd8 | 深度 5 | 2.79 秒
34... v4：Rxb2 | 深度 5 | 4.53 秒
35. material：Rxf7 | 深度 4 | 5.00 秒
35... v4：Re2+ | 深度 5 | 3.36 秒
36. material：Kd1 | 深度 5 | 3.50 秒
36... v4：Rxg2 | 深度 5 | 2.53 秒
37. material：d5+ | 深度 4 | 5.00 秒
37... v4：Kc5 | 深度 5 | 0.76 秒
38. material：Bh4 | 深度 5 | 4.75 秒
38... v4：Rd2+ | 深度 4 | 5.00 秒
39. material：Ke1 | 深度 5 | 1.71 秒
39... v4：Re2+ | 深度 5 | 2.91 秒
